date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:28	9474/9474	---M--	200	added ('OK')	image/png	etag:%225141a49-2502-54f584b347a40%22	https://template.gridbootstrap.com/eventup/images/others/author3.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author3.png	(from https://template.gridbootstrap.com/eventup/)
13:14:28	9810/9810	---M--	200	added ('OK')	image/png	etag:%225141a45-2652-54f585063fe00%22	https://template.gridbootstrap.com/eventup/images/others/author4.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/author4.png	(from https://template.gridbootstrap.com/eventup/)
13:14:29	6220/6220	---M--	200	added ('OK')	image/jpeg	etag:%225141a1c-184c-550078ec7b880%22	https://template.gridbootstrap.com/eventup/images/brand/1.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/brand/1.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:29	6227/6227	---M--	200	added ('OK')	image/jpeg	etag:%225141a1f-1853-550078e015b40%22	https://template.gridbootstrap.com/eventup/images/brand/2.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/brand/2.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:30	7010/7010	---M--	200	added ('OK')	image/jpeg	etag:%225141a20-1b62-550078d0d3740%22	https://template.gridbootstrap.com/eventup/images/brand/3.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/brand/3.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:30	5866/5866	---M--	200	added ('OK')	image/jpeg	etag:%225141a1e-16ea-550078c285580%22	https://template.gridbootstrap.com/eventup/images/brand/4.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/brand/4.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:30	5329/5329	---M--	200	added ('OK')	image/jpeg	etag:%225141a1d-14d1-55007899834c0%22	https://template.gridbootstrap.com/eventup/images/brand/5.jpg	D:/Work/ipact/template.gridbootstrap.com/eventup/images/brand/5.jpg	(from https://template.gridbootstrap.com/eventup/)
13:14:31	1269/1269	---M--	200	added ('OK')	image/png	etag:%225141a3c-4f5-54f9df1476100%22	https://template.gridbootstrap.com/eventup/images/others/facebook.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/facebook.png	(from https://template.gridbootstrap.com/eventup/)
13:14:31	1728/1728	---M--	200	added ('OK')	image/png	etag:%225141a3e-6c0-54f9df6491e00%22	https://template.gridbootstrap.com/eventup/images/others/twitter.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/twitter.png	(from https://template.gridbootstrap.com/eventup/)
13:14:32	1979/1979	---M--	200	added ('OK')	image/png	etag:%225141a47-7bb-54f9df8039f40%22	https://template.gridbootstrap.com/eventup/images/others/youtube.png	D:/Work/ipact/template.gridbootstrap.com/eventup/images/others/youtube.png	(from https://template.gridbootstrap.com/eventup/)
